state,n_slips,seed,n_frag,n_true_joins,top1,top5,top10,top50,mrr,method,theta,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,review_pairs,n_arcs,objective
P4,150,0,429,185,0.5945945945945946,0.8216216216216217,0.8972972972972973,0.9783783783783784,0.6989017816138379,top1,,0.0,-,0.2564102564102564,0.5945945945945946,0.3583061889250814,0.09448818897637795,0.10023310023310024,429,185,0.14227609368284083,0.34265734265734266,282,0.6573426573426573,,,
P4,150,0,429,185,0.5945945945945946,0.8216216216216217,0.8972972972972973,0.9783783783783784,0.6989017816138379,mutual,,0.0,-,0.40611353711790393,0.5027027027027027,0.44927536231884063,0.14173228346456693,0.17482517482517482,229,185,0.3014236579853219,0.5327510917030568,107,0.4672489082969432,,,
P4,150,0,429,185,0.5945945945945946,0.8216216216216217,0.8972972972972973,0.9783783783783784,0.6989017816138379,expert_top1,,0.0,-,1.0,0.5945945945945946,0.7457627118644068,0.47244094488188976,0.6037296037296037,110,185,0.4070102813446517,1.0,0,0.0,429.0,,
P4,150,0,429,185,0.5945945945945946,0.8216216216216217,0.8972972972972973,0.9783783783783784,0.6989017816138379,expert_top5,,0.0,-,1.0,0.8216216216216217,0.9020771513353116,0.7401574803149606,0.7972027972027972,152,185,0.5385063701439945,1.0,0,0.0,2145.0,,
P4,150,0,429,185,0.5945945945945946,0.8216216216216217,0.8972972972972973,0.9783783783783784,0.6989017816138379,expert_top10,,0.0,-,1.0,0.8972972972972973,0.9458689458689459,0.8503937007874016,0.8811188811188811,166,185,0.5852620104836254,1.0,0,0.0,4290.0,,
P4,150,0,429,185,0.5945945945945946,0.8216216216216217,0.8972972972972973,0.9783783783783784,0.6989017816138379,expert_top50,,0.0,-,1.0,0.9783783783783784,0.9890710382513661,0.968503937007874,0.972027972027972,181,185,0.6291410846935511,1.0,0,0.0,21450.0,,
P4,150,0,429,185,0.5945945945945946,0.8216216216216217,0.8972972972972973,0.9783783783783784,0.6989017816138379,matching,4.595119850134589,0.03522658348083496,OPTIMAL,0.3958333333333333,0.5135135135135135,0.44705882352941173,0.15748031496062992,0.1864801864801865,240,185,0.317192500336286,0.5208333333333334,115,0.47916666666666663,,474.0,435.008
P4,150,0,429,185,0.5945945945945946,0.8216216216216217,0.8972972972972973,0.9783783783783784,0.6989017816138379,latent,1.7346010553881064,3.2204086780548096,OPTIMAL,0.6956521739130435,0.7783783783783784,0.7346938775510204,0.44881889763779526,0.47785547785547783,207,185,0.7171640080624174,0.9565217391304348,9,0.04347826086956519,,432.0,1978.157
P4,150,1,435,182,0.6428571428571429,0.8021978021978022,0.8791208791208791,0.978021978021978,0.721315461657423,top1,,0.0,-,0.2689655172413793,0.6428571428571429,0.3792544570502431,0.078125,0.09425287356321839,435,182,0.18866328875623659,0.38620689655172413,267,0.6137931034482759,,,
P4,150,1,435,182,0.6428571428571429,0.8021978021978022,0.8791208791208791,0.978021978021978,0.721315461657423,mutual,,0.0,-,0.4166666666666667,0.5494505494505495,0.47393364928909953,0.15625,0.17011494252873563,240,182,0.33200887162421044,0.5708333333333333,103,0.4291666666666667,,,
P4,150,1,435,182,0.6428571428571429,0.8021978021978022,0.8791208791208791,0.978021978021978,0.721315461657423,expert_top1,,0.0,-,1.0,0.6428571428571429,0.782608695652174,0.5546875,0.6505747126436782,117,182,0.40187098031572793,1.0,0,0.0,435.0,,
P4,150,1,435,182,0.6428571428571429,0.8021978021978022,0.8791208791208791,0.978021978021978,0.721315461657423,expert_top5,,0.0,-,1.0,0.8021978021978022,0.8902439024390244,0.734375,0.774712643678161,146,182,0.4919138000405672,1.0,0,0.0,2175.0,,
P4,150,1,435,182,0.6428571428571429,0.8021978021978022,0.8791208791208791,0.978021978021978,0.721315461657423,expert_top10,,0.0,-,1.0,0.8791208791208791,0.935672514619883,0.828125,0.8620689655172413,160,182,0.5453235466803343,1.0,0,0.0,4350.0,,
