state,seed,n_frag,top1,top50,method,theta,solve_s,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate,n_arcs,status
P2,0,1200,0.9158512720156555,1.0,top1,,0.0,0.39065108514190316,0.9158512720156555,0.5476887068461088,0.1196319018404908,0.12583333333333332,1198,511,0.2859276041606248,0.5450751252086812,545,0.4549248747913188,,
P2,0,1200,0.9158512720156555,1.0,mutual,,0.0,0.5654911838790933,0.8786692759295499,0.6881226053639847,0.25153374233128833,0.25666666666666665,794,511,0.5291489746266872,0.7695214105793451,183,0.2304785894206549,,
P2,0,1200,0.9158512720156555,1.0,greedy,4.595119850134589,0.0004017353057861328,0.5520195838433293,0.8825831702544031,0.6792168674698795,0.2085889570552147,0.21083333333333334,817,511,0.5176303000459908,0.7576499388004896,198,0.2423500611995104,1492.0,
P2,0,1200,0.9158512720156555,1.0,loop,4.595119850134589,0.0066013336181640625,0.5700575815738963,0.5812133072407045,0.5755813953488371,0.25153374233128833,0.29083333333333333,521,511,0.4592140626898526,0.7715930902111324,119,0.22840690978886757,1492.0,
P2,0,1200,0.9158512720156555,1.0,path,4.595119850134589,0.3106727600097656,0.6016949152542372,0.5557729941291585,0.577822990844354,0.42024539877300615,0.33416666666666667,472,511,0.3627289897379987,0.815677966101695,87,0.18432203389830504,1492.0,
P2,0,1200,0.9158512720156555,1.0,bipartite,4.595119850134589,0.023576736450195312,0.5540704738760632,0.8923679060665362,0.6836581709145428,0.2085889570552147,0.21083333333333334,823,511,0.514859043421262,0.7594167679222357,198,0.24058323207776433,1492.0,
P2,0,1200,0.9158512720156555,1.0,constrained,2.9444389791664394,52.38447117805481,0.7186009538950715,0.8845401174168297,0.7929824561403509,0.50920245398773,0.5008333333333334,629,511,0.7899581218635628,0.9952305246422893,3,0.004769475357710662,789.0,OPTIMAL
P2,1,1148,0.9143468950749465,1.0,top1,,0.0,0.3732517482517482,0.9143468950749465,0.5301055245189323,0.13354037267080746,0.1367595818815331,1144,467,0.24795581551902202,0.5262237762237763,542,0.47377622377622375,,
P2,1,1148,0.9143468950749465,1.0,mutual,,0.0,0.5336856010568032,0.8650963597430407,0.6601307189542485,0.2329192546583851,0.23170731707317074,757,467,0.4938439873340099,0.7410832232496698,196,0.2589167767503302,,
P2,1,1148,0.9143468950749465,1.0,greedy,4.595119850134589,0.0005202293395996094,0.5294888597640891,0.8650963597430407,0.656910569105691,0.2391304347826087,0.22822299651567945,763,467,0.48833815168422756,0.7378768020969856,200,0.2621231979030144,1338.0,
