source,fragments
truth,2
truth,2
truth,1
truth,3
truth,3
truth,2
truth,1
truth,1
truth,1
truth,2
truth,1
truth,1
truth,2
truth,1
truth,3
truth,2
truth,3
truth,1
truth,3
truth,1
truth,2
truth,3
truth,1
truth,2
truth,2
truth,2
truth,1
truth,1
truth,1
truth,3
truth,2
truth,2
truth,2
truth,2
truth,1
truth,1
truth,1
truth,1
truth,1
truth,2
truth,2
truth,3
truth,2
truth,2
truth,1
truth,1
truth,3
truth,1
truth,2
truth,3
truth,5
truth,4
truth,1
truth,1
truth,1
truth,1
truth,1
truth,3
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,2
truth,1
truth,1
truth,1
truth,3
truth,1
truth,2
truth,3
truth,2
truth,2
truth,2
truth,1
truth,1
truth,1
truth,1
truth,1
truth,1
truth,3
truth,3
truth,1
truth,1
truth,3
truth,2
truth,2
truth,3
truth,3
truth,1
truth,1
truth,1
truth,3
truth,2
truth,2
truth,2
truth,1
truth,1
truth,1
truth,2
truth,2
truth,1
truth,3
truth,4
truth,1
truth,2
truth,3
truth,1
truth,3
truth,1
truth,1
truth,2
truth,3
truth,2
truth,2
truth,2
truth,1
truth,3
truth,1
truth,2
truth,2
truth,2
truth,1
truth,1
truth,2
truth,1
truth,1
truth,4
truth,2
truth,1
truth,1
truth,2
truth,1
truth,3
truth,2
truth,2
truth,1
truth,3
truth,3
truth,1
truth,1
truth,3
truth,2
truth,1
truth,2
truth,1
truth,1
truth,1
truth,1
truth,3
truth,1
truth,2
truth,1
truth,1
truth,1
truth,2
truth,2
truth,3
truth,3
truth,1
truth,1
truth,3
truth,2
truth,1
truth,2
truth,2
truth,2
truth,1
truth,2
truth,2
truth,2
truth,1
truth,1
truth,2
truth,1
truth,1
truth,1
truth,2
truth,1
truth,3
truth,3
truth,1
truth,2
truth,1
truth,2
truth,2
truth,1
truth,1
truth,2
truth,2
truth,3
truth,2
truth,1
truth,4
truth,1
truth,1
truth,1
truth,1
truth,3
truth,2
truth,1
truth,1
truth,3
truth,3
truth,1
truth,1
truth,1
truth,1
truth,2
truth,1
truth,4
truth,2
truth,2
truth,1
truth,3
truth,1
truth,3
truth,1
truth,2
truth,2
truth,2
truth,1
truth,1
truth,2
truth,1
truth,1
truth,2
truth,1
truth,1
truth,3
truth,1
truth,2
truth,2
truth,3
truth,2
truth,2
truth,3
truth,4
truth,1
truth,1
truth,1
truth,1
truth,3
truth,1
truth,2
truth,2
truth,3
truth,2
truth,3
truth,2
truth,1
truth,1
truth,3
truth,2
truth,1
truth,1
truth,3
truth,4
truth,1
truth,1
truth,1
truth,1
truth,3
truth,3
truth,1
truth,1
truth,1
truth,2
truth,1
truth,1
truth,1
