tag,method,seed,n_frag,disperse_sigma_mm,block_mm,unit_known_frac,unit_error_frac,coherence,radius,theta,n_arcs,arc_recall,solve_s,status,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
uniform,context_hard,0,1200,30.0,250.0,1.0,0.0,1.0,0,1.7346010553881064,2109,0.863013698630137,40.63950705528259,OPTIMAL,0.6132686084142395,0.7416829745596869,0.671390611160319,0.3374233128834356,0.35583333333333333,618,511,0.6670498673743107,0.8851132686084142,71,0.11488673139158578
uniform,context_soft,0,1200,30.0,250.0,1.0,0.0,1.0,0,1.7346010553881064,2109,0.863013698630137,26.435259342193604,OPTIMAL,0.6132686084142395,0.7416829745596869,0.671390611160319,0.3374233128834356,0.35583333333333333,618,511,0.6670498673743107,0.8851132686084142,71,0.11488673139158578
uniform,context_none,0,1200,30.0,250.0,1.0,0.0,1.0,0,2.9444389791664394,5318,0.7729941291585127,180.25355577468872,FEASIBLE,0.484375,0.5459882583170255,0.5133394664213432,0.2116564417177914,0.25666666666666665,576,511,0.43986184008307333,0.6701388888888888,190,0.32986111111111116
uniform,matching,0,1200,30.0,250.0,1.0,0.0,1.0,0,4.595119850134589,2941,0.6027397260273972,0.14420866966247559,OPTIMAL,0.29865361077111385,0.4774951076320939,0.36746987951807225,0.03987730061349693,0.07083333333333333,817,511,0.194506342417447,0.3990208078335373,491,0.6009791921664627
uniform,context_hard,1,1148,30.0,250.0,1.0,0.0,1.0,0,1.7346010553881064,1964,0.8394004282655246,72.45416235923767,OPTIMAL,0.5878260869565217,0.7237687366167024,0.6487523992322456,0.32298136645962733,0.34930313588850176,575,467,0.6411988637997083,0.8626086956521739,79,0.1373913043478261
uniform,context_soft,1,1148,30.0,250.0,1.0,0.0,1.0,0,1.7346010553881064,1964,0.8394004282655246,134.91884016990662,OPTIMAL,0.5878260869565217,0.7237687366167024,0.6487523992322456,0.32298136645962733,0.34930313588850176,575,467,0.6411988637997083,0.8626086956521739,79,0.1373913043478261
uniform,context_none,1,1148,30.0,250.0,1.0,0.0,1.0,0,2.9444389791664394,4665,0.7580299785867237,180.23020911216736,FEASIBLE,0.4727954971857411,0.5396145610278372,0.5039999999999999,0.2701863354037267,0.29006968641114983,533,467,0.40964309321237335,0.6641651031894934,179,0.3358348968105066
uniform,matching,1,1148,30.0,250.0,1.0,0.0,1.0,0,4.595119850134589,2665,0.5867237687366167,0.10163617134094238,OPTIMAL,0.2690863579474343,0.4603854389721627,0.339652448657188,0.040372670807453416,0.06097560975609756,799,467,0.17714537319147228,0.3704630788485607,503,0.6295369211514392
uniform,context_hard,2,1105,30.0,250.0,1.0,0.0,1.0,0,1.7346010553881064,1773,0.8665207877461707,64.23617124557495,OPTIMAL,0.6531365313653137,0.774617067833698,0.7087087087087087,0.4628975265017668,0.45610859728506786,542,457,0.6991607765585831,0.9003690036900369,54,0.09963099630996308
uniform,context_soft,2,1105,30.0,250.0,1.0,0.0,1.0,0,1.7346010553881064,1773,0.8665207877461707,43.03566598892212,OPTIMAL,0.6531365313653137,0.774617067833698,0.7087087087087087,0.4628975265017668,0.45610859728506786,542,457,0.6991607765585831,0.9003690036900369,54,0.09963099630996308
uniform,context_none,2,1105,30.0,250.0,1.0,0.0,1.0,0,2.9444389791664394,4625,0.787746170678337,180.3017544746399,FEASIBLE,0.51434034416826,0.5886214442013129,0.5489795918367347,0.2968197879858657,0.3230769230769231,523,457,0.472081699883958,0.6902485659655831,162,0.30975143403441685
uniform,matching,2,1105,30.0,250.0,1.0,0.0,1.0,0,4.595119850134589,2654,0.5864332603938731,0.11098718643188477,OPTIMAL,0.28304405874499333,0.4638949671772429,0.351575456053068,0.04240282685512368,0.06877828054298643,749,457,0.1912040942067464,0.38050734312416556,464,0.6194926568758344
sigma,context_hard,0,1200,0.0,250.0,1.0,0.0,0.761252446183953,1,0.8472978603872034,1250,0.6927592954990215,8.443240404129028,OPTIMAL,0.6451612903225806,0.6262230919765166,0.6355511420059583,0.2822085889570552,0.34833333333333333,496,511,0.585245223015889,0.9294354838709677,35,0.07056451612903225
sigma,context_soft,0,1200,0.0,250.0,1.0,0.0,0.761252446183953,1,0.8472978603872034,2132,0.8747553816046967,180.42897033691406,FEASIBLE,0.642504118616145,0.7632093933463796,0.6976744186046512,0.36809815950920244,0.395,607,511,0.6738088611862879,0.9028006589785832,59,0.09719934102141681
sigma,context_hard,1,1148,0.0,250.0,1.0,0.0,0.7922912205567452,1,0.8472978603872034,1193,0.702355460385439,14.2475745677948,OPTIMAL,0.6289308176100629,0.6423982869379015,0.6355932203389831,0.2981366459627329,0.3693379790940767,477,467,0.599753746189806,0.9161425576519916,40,0.0838574423480084
sigma,context_soft,1,1148,0.0,250.0,1.0,0.0,0.7922912205567452,1,0.8472978603872034,1952,0.8586723768736617,180.32310843467712,FEASIBLE,0.6236749116607774,0.7558886509635975,0.6834462729912876,0.3416149068322981,0.37282229965156793,566,467,0.6883419336065558,0.911660777385159,50,0.08833922261484095
sigma,context_hard,2,1105,0.0,250.0,1.0,0.0,0.7483588621444202,1,0.8472978603872034,1060,0.6673960612691466,8.14979887008667,OPTIMAL,0.6596244131455399,0.6148796498905909,0.6364665911664779,0.3392226148409894,0.41809954751131223,426,457,0.591562219447221,0.9248826291079812,32,0.07511737089201875
sigma,context_soft,2,1105,0.0,250.0,1.0,0.0,0.7483588621444202,1,0.8472978603872034,1841,0.8796498905908097,180.30116367340088,FEASIBLE,0.6617100371747212,0.7789934354485777,0.7155778894472362,0.4664310954063604,0.4633484162895928,538,457,0.714837479069928,0.9219330855018587,42,0.0780669144981413
sigma,context_hard,0,1200,15.0,250.0,1.0,0.0,0.726027397260274,1,0.8472978603872034,1175,0.6575342465753424,7.20328426361084,OPTIMAL,0.6404255319148936,0.589041095890411,0.6136595310907237,0.254601226993865,0.33666666666666667,470,511,0.5547046567131975,0.9212765957446809,37,0.0787234042553191
sigma,context_soft,0,1200,15.0,250.0,1.0,0.0,0.726027397260274,1,0.8472978603872034,2404,0.8884540117416829,180.2787163257599,FEASIBLE,0.6218354430379747,0.7690802348336595,0.6876640419947507,0.34355828220858897,0.36583333333333334,632,511,0.6950891691162602,0.8908227848101266,69,0.10917721518987344
sigma,context_hard,1,1148,15.0,250.0,1.0,0.0,0.7194860813704497,1,0.8472978603872034,1118,0.6359743040685225,5.895817756652832,OPTIMAL,0.6155606407322655,0.576017130620985,0.5951327433628318,0.2608695652173913,0.35452961672473865,437,467,0.5696301851889651,0.9267734553775744,32,0.07322654462242562
sigma,context_soft,1,1148,15.0,250.0,1.0,0.0,0.7194860813704497,1,0.8472978603872034,2218,0.8650963597430407,180.4521930217743,FEASIBLE,0.6010362694300518,0.7451820128479657,0.6653919694072657,0.3136645962732919,0.3510452961672474,579,467,0.6943273465513481,0.8998272884283247,58,0.10017271157167529
sigma,context_hard,2,1105,15.0,250.0,1.0,0.0,0.687089715536105,1,0.8472978603872034,1017,0.6214442013129103,7.4025797843933105,OPTIMAL,0.6428571428571429,0.5711159737417943,0.6048667439165701,0.30742049469964666,0.38733031674208146,406,457,0.5572753516368774,0.9088669950738916,37,0.09113300492610843
sigma,context_soft,2,1105,15.0,250.0,1.0,0.0,0.687089715536105,1,0.8472978603872034,2107,0.8796498905908097,180.1933832168579,FEASIBLE,0.659963436928702,0.7899343544857768,0.7191235059760955,0.48056537102473496,0.4660633484162896,547,457,0.723015176886479,0.9122486288848263,48,0.08775137111517373
sigma,context_hard,0,1200,30.0,250.0,1.0,0.0,0.6536203522504892,1,0.8472978603872034,1082,0.5929549902152642,5.25000786781311,OPTIMAL,0.6353211009174312,0.5420743639921722,0.5850052798310454,0.2361963190184049,0.3383333333333333,436,511,0.503281811453142,0.9036697247706422,42,0.09633027522935778
sigma,context_soft,0,1200,30.0,250.0,1.0,0.0,0.6536203522504892,1,1.7346010553881064,1616,0.821917808219178,180.4783217906952,FEASIBLE,0.6483126110124334,0.7142857142857143,0.6797020484171322,0.34662576687116564,0.3883333333333333,563,511,0.6351977648617528,0.9005328596802842,56,0.09946714031971582
sigma,context_hard,1,1148,30.0,250.0,1.0,0.0,0.6616702355460385,1,0.8472978603872034,1020,0.5845824411134903,9.706904172897339,OPTIMAL,0.6,0.5203426124197003,0.5573394495412844,0.2453416149068323,0.34930313588850176,405,467,0.5144132199177234,0.9111111111111111,36,0.0888888888888889
sigma,context_soft,1,1148,30.0,250.0,1.0,0.0,0.6616702355460385,1,1.7346010553881064,1510,0.7987152034261242,162.17806696891785,OPTIMAL,0.6266924564796905,0.6937901498929336,0.6585365853658536,0.3385093167701863,0.3893728222996516,517,467,0.622331588231971,0.9090909090909091,47,0.09090909090909094
sigma,context_hard,2,1105,30.0,250.0,1.0,0.0,0.6039387308533917,1,0.8472978603872034,901,0.5448577680525164,8.805057525634766,OPTIMAL,0.6236263736263736,0.49671772428884026,0.5529841656516443,0.254416961130742,0.35203619909502265,364,457,0.49009533219886187,0.8873626373626373,41,0.11263736263736268
sigma,context_soft,2,1105,30.0,250.0,1.0,0.0,0.6039387308533917,1,1.7346010553881064,1453,0.8271334792122538,146.07096910476685,OPTIMAL,0.6754032258064516,0.7330415754923414,0.7030430220356769,0.4275618374558304,0.4497737556561086,496,457,0.6728073385542462,0.9173387096774194,41,0.08266129032258063
